,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Muros,75,ES,1545111000,93,42.77,-9.06,48.2,21.92
375,Comodoro Rivadavia,0,AR,1545113802,75,-45.87,-67.48,61.76,16.28
376,Pacific Grove,40,US,1545112500,85,36.62,-121.92,55.04,3.36
377,Laredo,1,US,1545111300,95,27.51,-99.51,55.04,3.36
378,Iskateley,88,RU,1545113874,85,67.68,53.15,29.72,14.05
379,Chihuahua,0,MX,1545113875,80,28.66,-106.08,35.08,3.42
380,Gaoua,0,BF,1545113875,46,10.33,-3.18,63.47,7.45
381,Rafai,0,CF,1545113875,63,4.95,23.92,76.34,4.76
382,Vidim,90,CZ,1545112200,93,50.47,14.53,37.4,10.29
383,Komatipoort,0,MZ,1545109200,78,-25.43,31.96,77.0,2.24
384,Ciudad Bolivar,0,VE,1545113875,72,8.12,-63.55,76.34,10.8
385,Taltal,0,CL,1545113876,95,-25.41,-70.49,54.65,1.97
386,Coquimbo,0,CL,1545112800,87,-29.95,-71.34,59.0,5.66
387,Hami,8,CN,1545113876,70,42.84,93.51,21.49,4.65
388,Loanda,32,BR,1545113876,74,-22.93,-53.14,77.65,1.97
389,Marihatag,80,PH,1545113876,100,8.8,126.3,79.72,12.26
390,Lavrentiya,32,RU,1545113876,100,65.58,-170.99,3.62,17.74
391,Nueva Londres,44,PY,1545113877,90,-25.4,-56.55,74.5,2.53
392,Kropotkin,32,RU,1545113877,83,45.43,40.58,30.44,17.52
393,Amahai,88,ID,1545113877,99,-3.31,129.0,85.61,10.25
394,Halifax,90,CA,1545110220,100,44.65,-63.58,32.0,10.29
395,Superior,90,US,1545112380,92,47.19,-114.89,28.94,9.17
396,Sungaipenuh,36,ID,1545113877,96,-2.08,101.38,73.6,0.07
397,Anadyr,8,RU,1545112800,73,64.73,177.51,-29.21,11.18
398,Pogar,48,RU,1545113878,84,52.55,33.26,12.94,7.34
399,Avera,1,US,1545112500,92,33.19,-82.53,48.92,3.36
400,Katobu,68,ID,1545113878,80,-4.94,122.53,87.59,8.46
401,Arawa,0,NG,1545113878,91,7.05,3.9,69.86,2.3
402,Masallatah,0,LY,1545113878,81,32.62,14.0,49.79,12.37
403,Viedma,0,AR,1545113878,49,-40.81,-62.99,56.09,14.72
404,Paramonga,80,PE,1545113878,100,-10.68,-77.82,67.16,7.11
405,Waipawa,0,NZ,1545113879,48,-39.94,176.59,69.64,15.73
406,Arlit,0,NE,1545113879,68,18.74,7.39,46.19,3.76
407,Nagua,24,DO,1545113879,100,19.37,-69.85,71.21,3.31
408,Paamiut,48,GL,1545113879,100,61.99,-49.67,27.88,9.35
409,Sabha,0,LY,1545113879,71,27.03,14.43,35.89,4.88
410,Helong,0,CN,1545113879,49,25.94,116.13,62.17,3.09
411,Manaure,0,CO,1545113880,94,11.78,-72.45,79.31,20.87
412,Araouane,0,ML,1545113880,45,18.9,-3.53,49.7,9.24
413,Xichang,0,CN,1545113880,34,27.88,102.25,61.67,1.97
414,Lahad Datu,8,MY,1545113880,76,5.02,118.33,85.25,5.21
415,Jackson,1,US,1545112560,95,35.61,-88.82,37.94,3.98
416,Matadi,92,CD,1545113880,99,-5.83,13.46,74.81,3.65
417,Kikwit,92,CD,1545113881,99,-5.04,18.82,70.67,4.21
418,Talaya,75,RU,1545112800,92,55.79,84.89,14.0,11.18
419,Hays,1,US,1545112560,59,38.88,-99.33,39.02,10.29
420,Shenjiamen,0,CN,1545113881,93,29.96,122.3,56.59,4.43
421,Port Hedland,0,AU,1545112800,49,-20.31,118.58,91.4,19.46
422,Concepcion,12,CO,1545113882,71,9.56,-73.66,74.54,1.52
423,Anori,32,BR,1545113882,95,-3.74,-61.66,75.04,2.86
424,Codrington,40,AU,1545112800,58,-28.95,153.24,86.0,11.41
425,Port Hueneme,40,US,1545112620,89,34.15,-119.2,57.02,5.99
426,Kapit,76,MY,1545113882,78,2.02,112.94,84.04,2.42
427,Humaita,75,AR,1545109200,94,-24.93,-65.37,71.6,5.82
428,Chanika,88,MW,1545113883,100,-12.93,34.19,71.35,3.76
429,Yen Bai,20,VN,1545113883,81,21.7,104.87,67.61,3.76
430,Umm Kaddadah,0,SD,1545113883,26,13.6,26.69,58.34,17.07
431,Tarbagatay,75,RU,1545112800,73,51.48,107.36,21.2,6.71
432,Kirakira,88,SB,1545113883,100,-10.46,161.92,83.54,11.03
433,Ankazobe,75,MG,1545112800,64,-18.32,47.12,69.8,12.75
434,Carazinho,80,BR,1545113884,93,-28.3,-52.79,69.37,3.2
435,Buchanan,20,LR,1545112800,100,5.88,-10.05,73.4,3.36
436,Narendranagar,0,IN,1545112800,32,30.16,78.29,68.0,4.7
437,Bayir,75,TR,1545112200,93,37.27,28.22,48.2,6.93
438,Kaeo,100,NZ,1545113884,98,-35.1,173.78,65.9,3.42
439,Amapa,75,HN,1545112800,83,15.09,-87.97,69.8,6.93
440,Camacha,40,PT,1545111000,82,33.08,-16.33,62.6,10.29
441,Salinopolis,88,BR,1545113885,100,-0.61,-47.36,79.49,11.48
442,Nizhnyaya Tavda,44,RU,1545113885,90,57.67,66.17,13.12,11.81
443,Tongchuan,0,CN,1545112800,29,34.9,108.95,51.8,4.47
444,Sunland Park,90,US,1545112500,81,31.8,-106.58,51.08,5.82
445,Batticaloa,0,LK,1545113885,94,7.71,81.69,82.33,5.66
446,Udachnyy,20,RU,1545113885,59,66.42,112.4,-34.27,3.42
447,Dauphin,90,CA,1545109200,92,51.15,-100.04,19.4,4.7
448,Tarakan,68,ID,1545112800,62,3.3,117.63,89.6,9.17
449,Hobyo,0,SO,1545113886,63,5.35,48.53,81.97,18.86
450,Lakes Entrance,48,AU,1545113887,86,-37.88,147.99,67.84,8.68
451,Adet,0,ET,1545113887,50,11.26,37.49,64.55,4.54
452,Saint-Pierre,0,FR,1545111000,100,48.95,4.24,35.6,12.75
453,Thinadhoo,24,MV,1545113888,100,0.53,72.93,82.82,13.27
454,Kochki,80,RU,1545113888,89,54.33,80.49,11.54,9.01
455,Areosa,75,PT,1545111000,62,41.72,-8.86,57.2,28.86
456,Markova,88,RU,1545113889,77,52.21,104.21,22.93,3.2
457,Hailar,48,CN,1545113889,58,49.2,119.7,13.84,16.28
458,Karratha,0,AU,1545113889,17,-20.74,116.85,100.1,4.43
459,Ambon,90,FR,1545111000,93,47.55,-2.56,51.8,17.22
460,Manicore,24,BR,1545113890,92,-5.81,-61.3,75.44,2.08
461,Basco,1,US,1545112500,78,40.33,-91.2,35.96,4.7
462,Riverton,1,US,1545112500,55,43.02,-108.38,33.8,16.11
463,Verkh-Suetka,80,RU,1545113890,89,53.3,80.05,13.07,6.44
464,Genhe,48,CN,1545113891,68,50.78,121.52,2.36,12.93
465,Navolato,40,MX,1545108420,77,24.76,-107.7,64.4,14.05
466,Sambava,92,MG,1545113633,100,-14.27,50.17,80.84,18.07
467,Port Augusta,12,AU,1545112800,42,-32.49,137.76,86.0,23.04
468,Varhaug,75,NO,1545112200,69,58.61,5.65,35.6,18.34
469,Ryotsu,75,JP,1545112800,100,38.08,138.43,37.4,11.41
470,Camacupa,32,AO,1545113893,63,-12.02,17.48,68.42,10.02
471,Maceio,75,BR,1545112800,88,-9.67,-35.74,75.2,1.12
472,Carutapera,20,BR,1545113897,94,-1.2,-46.02,77.38,8.46
473,Birjand,0,IR,1545112800,8,32.86,59.22,53.6,11.41
474,Calella,8,ES,1545111000,100,41.62,2.67,42.8,3.36
475,Yar-Sale,32,RU,1545113898,94,66.83,70.83,25.49,19.19
476,Mandalgovi,68,MN,1545113898,63,45.76,106.27,18.79,4.09
477,Bilma,0,NE,1545113899,67,18.69,12.92,42.14,6.22
478,Touros,40,BR,1545112800,100,-5.2,-35.46,75.2,3.36
479,Kiunga,92,PG,1545113901,87,-6.12,141.3,78.59,3.2
480,Yarada,75,IN,1545112800,88,17.65,83.27,71.6,8.05
481,Christchurch,88,NZ,1545112800,40,-43.53,172.64,73.4,21.92
482,Seoul,40,KR,1545112800,42,37.57,126.98,47.3,11.41
483,Beyneu,76,KZ,1545113902,85,45.32,55.19,24.73,5.99
484,Ketchikan,90,US,1545112560,76,55.34,-131.65,46.04,31.09
485,Nyurba,32,RU,1545113902,68,63.29,118.35,-15.82,3.76
486,Bonavista,92,CA,1545113903,100,48.65,-53.11,32.83,28.48
487,Kholmogory,40,RU,1545112800,92,64.23,41.65,12.2,4.47
488,Harnosand,90,SE,1545112200,92,62.63,17.94,26.6,4.7
489,Bandarbeyla,68,SO,1545113903,100,9.49,50.81,75.8,20.2
490,Bennettsville,1,US,1545112800,97,34.62,-79.68,41.0,3.36
491,Kendari,64,ID,1545113903,80,-3.99,122.52,84.13,2.98
492,Bukama,76,CD,1545113904,98,-9.2,25.85,71.84,1.63
493,Joao Pinheiro,56,BR,1545113904,57,-17.74,-46.17,73.33,7.34
494,Kalat,0,PK,1545113905,33,29.03,66.58,52.09,2.75
495,Maxixe,75,MZ,1545112800,78,-23.86,35.35,82.4,9.17
496,Honningsvag,75,NO,1545112200,80,70.98,25.97,33.8,5.82
497,Berezayka,56,RU,1545113905,81,57.99,33.91,1.42,8.46
498,Malanville,0,NE,1545113906,37,11.86,3.39,64.37,12.26
499,Conil,24,FR,1545113906,76,44.97,3.72,20.05,4.21
500,Montbeliard,0,FR,1545112200,92,47.52,6.8,33.8,1.12
501,Pestyaki,56,RU,1545113907,75,56.71,42.67,5.87,2.75
502,Cuenca,24,ES,1545113809,79,40.07,-2.13,25.45,4.43
503,Gravdal,0,NO,1545112200,74,59.79,5.78,35.6,11.41
504,Altay,0,CN,1545113912,75,47.83,88.13,12.22,2.98
505,Langsa,24,ID,1545113913,82,4.47,97.97,83.0,2.75
506,Darnah,24,LY,1545113913,100,32.77,22.64,63.79,25.34
507,Altoona,90,US,1545112560,60,40.52,-78.39,35.6,16.11
508,Grootfontein,20,NA,1545112800,51,-19.56,18.1,80.6,6.93
509,Verkhnevilyuysk,48,RU,1545113914,61,63.45,120.31,-13.48,3.76
510,Angatuba,20,BR,1545113915,93,-23.49,-48.41,70.09,2.75
511,Rurrenabaque,32,BO,1545113915,98,-14.44,-67.53,66.71,1.19
512,Sao Gabriel da Cachoeira,20,BR,1545113915,95,-0.13,-67.09,73.78,2.42
513,Mitsamiouli,40,KM,1545112800,66,-11.38,43.28,86.0,5.82
514,Rengo,0,CL,1545112800,67,-34.41,-70.86,62.6,3.36
515,Portel,20,PT,1545109200,87,38.31,-7.71,46.4,11.41
516,Teya,40,MX,1545111900,82,21.05,-89.07,66.2,2.64
517,Ornskoldsvik,75,SE,1545112200,92,63.29,18.72,26.6,2.24
518,Eregli,48,TR,1545113917,91,37.51,34.05,32.83,3.98
519,Alofi,68,NU,1545109200,83,-19.06,-169.92,82.4,3.36
520,Mubi,0,NG,1545113938,42,10.27,13.26,58.3,5.55
521,Neuquen,0,AR,1545112800,42,-38.95,-68.06,62.6,4.7
522,Clyde River,1,CA,1545112800,76,70.47,-68.59,-9.41,11.41
523,Brae,40,GB,1545112200,87,60.4,-1.35,48.2,35.57
524,Semnan,90,IR,1545109200,82,35.58,53.39,48.2,4.7
525,Paine,0,CL,1545112800,67,-33.81,-70.74,60.8,4.7
526,Sechura,32,PE,1545113940,86,-5.56,-80.82,71.66,9.35
527,Basoko,92,CD,1545113940,95,1.23,23.61,73.55,3.65
528,Prince Rupert,90,CA,1545109200,75,54.32,-130.32,44.6,18.34
529,Kijang,40,KR,1545112800,42,35.24,129.21,46.4,6.93
530,Cooma,40,AU,1545112800,72,-36.24,149.13,68.0,17.22
531,Sand Springs,1,US,1545112500,65,36.14,-96.11,42.98,3.36
532,Mlonggo,20,ID,1545112800,59,-6.53,110.7,89.6,9.17
533,Liezen,12,AT,1545112200,92,47.57,14.24,12.2,2.24
534,Rome,0,IT,1545112200,65,41.89,12.48,42.8,9.17
